TIPO;NUMERO;DATA;PRECO;QTDE;LOCAL_ENTREGA;DESCRICAO_SITUACAO;CAM;PI;NOME_COLOQUIAL;PROCESSO_AIP
EO;228983;14/12/2020;199500;1;AMAZONAS-AM;Agregada ao Processo;B009;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;104/2021 - 08/06/2021
EO;228976;14/12/2020;199500;1;BAHIA-BA ;Agregada ao Processo;B002;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;104/2021 - 08/06/2021
EO;228981;14/12/2020;199500;1;DISTRITO FEDERAL-DF  ;Agregada ao Processo;B007;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;104/2021 - 08/06/2021
EO;228980;14/12/2020;199500;1;MATO-GROSSO DO SUL - MS;Agregada ao Processo;B006;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;104/2021 - 08/06/2021
EO;228978;14/12/2020;199500;1;PARÁ-PA  ;Agregada ao Processo;B004;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;104/2021 - 08/06/2021
EO;228977;14/12/2020;199500;1;RIO GRANDE DO NORTE-RN  ;Agregada ao Processo;B003;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;104/2021 - 08/06/2021
EO;271961;20/07/2023;430000;2;AMAZONAS-AM;Agregada ao Processo;B009;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;124/2023 - 25/07/2023
EO;271957;20/07/2023;430000;2;BAHIA-BA ;Agregada ao Processo;B002;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;124/2023 - 25/07/2023
EO;271960;20/07/2023;430000;2;DISTRITO FEDERAL-DF  ;Agregada ao Processo;B007;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;124/2023 - 25/07/2023
EO;271959;20/07/2023;430000;2;MATO-GROSSO DO SUL - MS;Agregada ao Processo;B006;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;124/2023 - 25/07/2023
EO;271958;20/07/2023;430000;2;RIO GRANDE DO SUL-RS ;Agregada ao Processo;B005;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;124/2023 - 25/07/2023
EO;271956;20/07/2023;430000;3;RIO DE JANEIRO - RJ;Parcialmente Atendida;B001;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;124/2023 - 25/07/2023
PO;1370326;11/10/2024;399000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;124/2023 - 25/07/2023
PO;1370348;11/10/2024;399000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;124/2023 - 25/07/2023
PO;1372125;22/11/2024;399000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;124/2023 - 25/07/2023
EO;228979;14/12/2020;199500;1;RIO GRANDE DO SUL-RS ;Agregada ao Processo;B005;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;38/2021 - 12/02/2021
EO;228982;14/12/2020;199500;1;SÃO PAULO - SP;Agregada ao Processo;B008;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;38/2021 - 12/02/2021
EO;228975;14/12/2020;199500;3;RIO DE JANEIRO - RJ;Parcialmente Atendida;B001;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;38/2021 - 12/02/2021
PO;1315903;06/04/2022;264000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;38/2021 - 12/02/2021
EO;211887;10/01/2020;212800;1;AMAZONAS-AM;Agregada ao Processo;B009;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;55/2020 - 04/03/2020
EO;211880;10/01/2020;212800;1;BAHIA-BA ;Agregada ao Processo;B002;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;55/2020 - 04/03/2020
EO;211885;10/01/2020;212800;1;DISTRITO FEDERAL-DF  ;Agregada ao Processo;B007;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;55/2020 - 04/03/2020
EO;211884;10/01/2020;212800;1;MATO-GROSSO DO SUL - MS;Agregada ao Processo;B006;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;55/2020 - 04/03/2020
EO;211881;10/01/2020;212800;1;RIO GRANDE DO NORTE-RN  ;Agregada ao Processo;B003;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;55/2020 - 04/03/2020
EO;211883;10/01/2020;212800;1;RIO GRANDE DO SUL-RS ;Agregada ao Processo;B005;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;55/2020 - 04/03/2020
EO;211886;10/01/2020;212800;1;SÃO PAULO - SP;Agregada ao Processo;B008;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;55/2020 - 04/03/2020
EO;211879;10/01/2020;212800;6;RIO DE JANEIRO - RJ;Agregada ao Processo;B001;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;55/2020 - 04/03/2020
EO;211882;10/01/2020;212800;1;PARÁ-PA  ;Parcialmente Atendida;B004;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;55/2020 - 04/03/2020
PO;1297760;18/08/2020;199500;1;PARÁ-PA  ;Aguardando OC;B004;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;55/2020 - 04/03/2020
EO;257654;10/03/2022;264000;2;PARÁ-PA  ;Agregada ao Processo;B004;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;85/2022 - 05/09/2022
EO;257652;10/03/2022;264000;2;RIO GRANDE DO NORTE-RN  ;Agregada ao Processo;B003;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;85/2022 - 05/09/2022
EO;257281;18/02/2022;264000;2;SÃO PAULO - SP;Agregada ao Processo;B008;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;85/2022 - 05/09/2022
EO;257279;18/02/2022;264000;3;RIO DE JANEIRO - RJ;Parcialmente Atendida;B001;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;85/2022 - 05/09/2022
PO;1327232;11/10/2022;400000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;85/2022 - 05/09/2022
PO;1345147;14/07/2023;430000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;85/2022 - 05/09/2022
PO;1327552;14/10/2022;400000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;85/2022 - 05/09/2022
EO;264093;05/01/2023;400000;2;PARÁ-PA  ;Agregada ao Processo;B004;190019054;AMBULANCIA P/TRANSPORTE DOENTES/ACIDENTADOS;89/2023 - 09/01/2023
EO;228992;14/12/2020;292900;1;AMAZONAS-AM;Agregada ao Processo;B009;190019055;AMBULANCIA UTI;104/2021 - 08/06/2021
EO;228985;14/12/2020;292900;1;BAHIA-BA ;Agregada ao Processo;B002;190019055;AMBULANCIA UTI;104/2021 - 08/06/2021
EO;228989;14/12/2020;292900;1;MATO-GROSSO DO SUL - MS;Agregada ao Processo;B006;190019055;AMBULANCIA UTI;104/2021 - 08/06/2021
EO;228987;14/12/2020;292900;1;PARÁ-PA  ;Agregada ao Processo;B004;190019055;AMBULANCIA UTI;104/2021 - 08/06/2021
EO;228986;14/12/2020;292900;1;RIO GRANDE DO NORTE-RN  ;Agregada ao Processo;B003;190019055;AMBULANCIA UTI;104/2021 - 08/06/2021
EO;228990;14/12/2020;292900;1;DISTRITO FEDERAL-DF  ;Parcialmente Atendida;B007;190019055;AMBULANCIA UTI;104/2021 - 08/06/2021
PO;1314793;21/03/2022;355000;1;DISTRITO FEDERAL - DF;Com Ordem de Compra;B007;190019055;AMBULANCIA UTI;104/2021 - 08/06/2021
EO;255927;09/02/2022;355000;2;RIO DE JANEIRO - RJ;Parcialmente Atendida;B001;190019055;AMBULANCIA UTI;114/2022 - 03/05/2022
PO;1314624;17/03/2022;355000;2;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;114/2022 - 03/05/2022
EO;271963;20/07/2023;505000;2;BAHIA-BA ;Agregada ao Processo;B002;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
EO;271968;20/07/2023;505000;3;DISTRITO FEDERAL-DF  ;Agregada ao Processo;B007;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
EO;271964;20/07/2023;505000;3;RIO GRANDE DO NORTE-RN  ;Agregada ao Processo;B003;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
EO;271969;24/07/2023;505000;3;SÃO PAULO - SP;Agregada ao Processo;B008;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
EO;271970;24/07/2023;505000;2;AMAZONAS-AM;Parcialmente Atendida;B009;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
EO;271967;20/07/2023;505000;2;MATO-GROSSO DO SUL - MS;Parcialmente Atendida;B006;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
EO;271965;20/07/2023;505000;3;PARÁ-PA  ;Parcialmente Atendida;B004;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
EO;271966;20/07/2023;505000;2;RIO GRANDE DO SUL-RS ;Parcialmente Atendida;B005;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
EO;271962;20/07/2023;505000;6;RIO DE JANEIRO - RJ;Parcialmente Atendida;B001;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
PO;1360431;17/05/2024;510000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
PO;1357498;02/04/2024;510000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
PO;1360300;17/05/2024;510000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
PO;1365299;09/08/2024;448000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
PO;1353276;11/12/2023;505000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
PO;1357384;01/04/2024;510000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
PO;1353876;11/01/2024;510000;1;PARÁ-PA  ;Com Ordem de Compra;B004;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
PO;1353857;11/01/2024;510000;1;PARÁ-PA  ;Com Ordem de Compra;B004;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
PO;1352969;07/12/2023;505000;1;PARÁ-PA  ;Com Ordem de Compra;B004;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
PO;1357385;01/04/2024;510000;1;RIO GRANDE DO SUL-RS ;Aguardando OC;B005;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
PO;1368636;29/08/2024;448000;1;MATO-GROSSO DO SUL - MS;Aguardando OC;B006;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
